,id,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,neighbourhood_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,beds,bed_type,price,security_deposit,cleaning_fee,guests_included,extra_people,minimum_nights,maximum_nights,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,cancellation_policy,require_guest_phone_verification,require_guest_profile_picture,requires_license,reviews_per_month
260,2020505,100%,100%,t,1.0,East Queen Anne,47.641451971760034,-122.3528848146092,House,Entire home/apt,2,1.0,1.0,Real Bed,142.00,,40.00,1,0.00,3,10,63,99.0,10.0,10.0,10.0,10.0,10.0,10.0,f,moderate,f,f,f,2.76
261,5580457,100%,100%,f,1.0,East Queen Anne,47.643874827414564,-122.34614433037541,Apartment,Entire home/apt,2,1.0,2.0,Real Bed,150.00,,25.00,2,25.00,2,15,16,93.0,10.0,10.0,9.0,10.0,9.0,9.0,f,moderate,f,f,f,1.7
262,1495271,100%,100%,f,1.0,East Queen Anne,47.63911467903458,-122.3542986237147,House,Entire home/apt,6,2.0,3.0,Real Bed,295.00,1000.00,110.00,1,0.00,1,1125,4,95.0,9.0,10.0,10.0,10.0,10.0,9.0,f,moderate,f,f,f,0.14
263,8455865,100%,100%,f,1.0,East Queen Anne,47.64032332485242,-122.34938628124064,House,Entire home/apt,6,3.5,4.0,Real Bed,335.00,500.00,125.00,1,0.00,2,16,3,100.0,10.0,10.0,10.0,10.0,10.0,10.0,f,strict,f,f,f,1.07
264,9679300,83%,100%,f,1.0,East Queen Anne,47.62963743240054,-122.35616910345655,Apartment,Private room,2,1.0,1.0,Real Bed,60.00,,,1,0.00,1,1125,0,,,,,,,,f,flexible,f,f,f,
265,6065566,,100%,f,1.0,East Queen Anne,47.63703758851673,-122.35311103362456,House,Entire home/apt,6,1.5,3.0,Real Bed,250.00,500.00,75.00,4,0.00,4,14,2,100.0,10.0,9.0,10.0,10.0,10.0,10.0,f,strict,f,f,f,0.37
266,4645208,100%,,t,1.0,East Queen Anne,47.63394911960187,-122.34969113411306,House,Entire home/apt,8,3.0,5.0,Real Bed,499.00,499.00,200.00,8,50.00,2,1125,14,99.0,10.0,10.0,10.0,10.0,10.0,10.0,f,strict,f,f,f,1.57
267,6115807,100%,100%,f,3.0,East Queen Anne,47.637867516806345,-122.35306449740874,House,Entire home/apt,8,2.0,4.0,Real Bed,350.00,300.00,155.00,7,50.00,2,180,9,96.0,10.0,10.0,10.0,10.0,10.0,10.0,f,strict,f,f,f,1.53
268,7091397,100%,100%,f,1.0,East Queen Anne,47.6373655271738,-122.35234397791731,Bungalow,Entire home/apt,3,1.0,2.0,Real Bed,156.00,300.00,25.00,2,0.00,3,1125,11,98.0,10.0,10.0,10.0,10.0,10.0,10.0,f,moderate,f,f,f,1.98
269,6134153,100%,100%,f,3.0,East Queen Anne,47.63784753756462,-122.35358689021069,Apartment,Entire home/apt,4,1.0,3.0,Real Bed,200.00,100.00,111.00,4,50.00,2,180,11,91.0,9.0,9.0,10.0,10.0,10.0,9.0,f,strict,f,f,f,1.67
270,7763878,100%,,f,1.0,East Queen Anne,47.63180065694061,-122.35599765681252,Apartment,Entire home/apt,4,2.0,2.0,Real Bed,180.00,100.00,30.00,3,0.00,2,9,1,100.0,10.0,10.0,10.0,10.0,10.0,10.0,f,moderate,f,f,f,0.24
271,8088447,100%,100%,f,1.0,East Queen Anne,47.63831371623401,-122.34293120979893,Apartment,Entire home/apt,3,1.0,1.0,Real Bed,103.00,,,1,0.00,1,1125,1,100.0,10.0,10.0,10.0,10.0,10.0,10.0,f,flexible,f,f,f,0.53
272,3418349,100%,100%,f,1.0,East Queen Anne,47.62833641098298,-122.34633351817844,Apartment,Entire home/apt,2,1.0,1.0,Real Bed,99.00,100.00,,1,0.00,1,90,115,94.0,10.0,9.0,10.0,10.0,10.0,9.0,t,moderate,f,f,f,6.39
273,9199982,100%,100%,f,1.0,East Queen Anne,47.64007889186826,-122.3452415261875,Apartment,Entire home/apt,3,1.0,1.0,Real Bed,94.00,100.00,40.00,1,0.00,2,1125,6,87.0,9.0,9.0,9.0,10.0,8.0,9.0,f,flexible,f,f,f,4.19
274,6400000,100%,100%,f,3.0,East Queen Anne,47.638925421559,-122.35628823238493,Apartment,Entire home/apt,4,1.0,1.0,Real Bed,160.00,100.00,72.00,0,0.00,1,180,10,92.0,10.0,10.0,10.0,10.0,10.0,9.0,f,moderate,f,f,f,1.46
275,6776229,94%,100%,t,2.0,East Queen Anne,47.64001746321101,-122.34512962576211,Apartment,Entire home/apt,4,1.0,2.0,Real Bed,129.00,300.00,60.00,1,0.00,2,1125,21,96.0,10.0,10.0,10.0,10.0,9.0,10.0,t,strict,f,f,f,4.88
276,7627794,100%,100%,f,1.0,East Queen Anne,47.638790428511285,-122.3415790051676,Loft,Entire home/apt,4,1.0,2.0,Real Bed,219.00,,90.00,2,30.00,2,1125,5,96.0,10.0,10.0,10.0,10.0,10.0,10.0,f,moderate,f,f,f,1.01
277,8374102,100%,100%,f,5.0,East Queen Anne,47.629195307100474,-122.34803448837113,Apartment,Entire home/apt,4,1.0,1.0,Real Bed,91.00,150.00,60.00,2,20.00,2,1125,5,92.0,9.0,9.0,10.0,10.0,9.0,9.0,t,strict,f,f,f,1.42
278,6316934,100%,100%,f,6.0,East Queen Anne,47.63933710162693,-122.34429137032255,Apartment,Entire home/apt,4,1.0,2.0,Real Bed,75.00,350.00,60.00,4,10.00,2,1125,53,95.0,10.0,10.0,10.0,10.0,9.0,10.0,f,strict,f,f,f,6.82
